OriginalAddress1,PermitNum,PermitClass,PermitClassMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,AppliedDate,EstProjectCost,IssuedDate,ExpiresDate,StatusCurrent,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
3845 30TH AVE W,6956307-CN,Single Family/Duplex,Residential,New,"Construct alterations for east one-family dwelling. [Establish existing single-family use as detached accessory dwelling unit and allow new single-family residence with attached accessory dwelling unit per land use code. Construct new two-family dwelling and alterations for existing one-family dwelling, per plan. Review and processing for (2) construction records under 6953258-CN.",0,0,1,09/08/2023 12:00:00 AM,5000,09/08/2023 12:00:00 AM,03/08/2025 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6956307-CN,47.65538483,-122.39600322,"(47.65538483, -122.39600322)"
4338 NE 58TH ST,6965780-CN,Single Family/Duplex,Residential,New,"Establish use as single-family residence with attached accessory dwelling unit per land use code. Construct two-family dwelling, per plan.",0,0,2,09/07/2023 12:00:00 AM,858227,01/22/2024 12:00:00 AM,07/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6965780-CN,47.6713721,-122.28048574,"(47.6713721, -122.28048574)"
111 GARFIELD ST,6970332-CN,Single Family/Duplex,Residential,New,"Construct alterations to existing one-family dwelling, per plan, [Allow detached accessory dwelling unit (DADU) to existing single family residence, per land use code.  Construct as one-family dwelling and additions to exisitng one-family dwelling, per plan; review and process for two records under 6970332-CN].",1,0,0,09/07/2023 12:00:00 AM,15995,11/30/2023 12:00:00 AM,05/30/2025 12:00:00 AM,Issued,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6970332-CN,47.63295253,-122.35505745,"(47.63295253, -122.35505745)"
2940 NE 68TH ST,6983446-CN,Single Family/Duplex,Residential,New,"Construct east one-family dwelling (Construct additions & substantial alterations to west one-family dwelling, and construct east one-family dwelling (detached accessory dwelling unit (DADU), per land use code), per plan.  Review and process for two records under 6937089-CN)",,,,08/31/2023 12:00:00 AM,142687,02/20/2024 12:00:00 AM,08/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6983446-CN,47.67775701,-122.29592284,"(47.67775701, -122.29592284)"
2906 W GARFIELD ST,6979288-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with attached accessory dwelling unit per land use code. Construct new two-family dwelling, per plan.",0,0,2,08/29/2023 12:00:00 AM,600000,01/23/2024 12:00:00 AM,07/23/2025 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6979288-CN,47.63397369,-122.39468227,"(47.63397369, -122.39468227)"
3215 37TH PL S,6957362-CN,Single Family/Duplex,Residential,New,"Establish new single family residence with attached accessory dwelling unit, per land use code.   Construct new two family dwelling, per plan.",0,0,2,08/24/2023 12:00:00 AM,424006,12/21/2023 12:00:00 AM,06/21/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,Taylor Made Construction LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6957362-CN,47.57479488,-122.28694685,"(47.57479488, -122.28694685)"
633 NW 77TH ST,6981719-CN,Single Family/Duplex,Residential,New,"Construct south one family dwelling, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code. Construct (2) one family dwelling, per plan. Review and processing for two records under 6977417-CN)",0,0,1,08/23/2023 12:00:00 AM,181858,02/15/2024 12:00:00 AM,08/15/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6981719-CN,47.68445118,-122.36485145,"(47.68445118, -122.36485145)"
635 NW 77TH ST,6977417-CN,Single Family/Duplex,Residential,New,"Construct north one family dwelling, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code. Construct (2) one family dwelling, per plan. Review and processing for two records under 6977417-CN)",0,0,1,08/23/2023 12:00:00 AM,377658,02/15/2024 12:00:00 AM,08/15/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6977417-CN,47.68454147,-122.36490182,"(47.68454147, -122.36490182)"
1829 41ST AVE E,6960765-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with attached accessory dwelling unit per land use code. Construct new single-family residence on existing and new foundations, per plan.",0,0,2,08/22/2023 12:00:00 AM,629452,12/18/2023 12:00:00 AM,06/18/2025 12:00:00 AM,Issued,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6960765-CN,47.63561668,-122.27993038,"(47.63561668, -122.27993038)"
824 NE 57TH ST,6981274-CN,Single Family/Duplex,Residential,New,"Construct alterations to south, existing one-family dwelling (Construct north one-family dwelling (detached accessory dwelling unit (DADU), per land use code), and alterations to south, existing one-family dwelling, per plan.  Review & process for (2) records under 6960003-CN)",,,,08/22/2023 12:00:00 AM,1,10/05/2023 12:00:00 AM,04/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6981274-CN,47.67023641,-122.31899154,"(47.67023641, -122.31899154)"
113 GARFIELD ST,6982011-CN,Single Family/Duplex,Residential,New,"Allow detached accessory dwelling unit (DADU) to existing single family residence, land use code.  Construct as one-family dwelling and additions to existing one-family dwelling, per plan; review and process for two records under 6970332-CN",0,0,1,08/21/2023 12:00:00 AM,127051,11/30/2023 12:00:00 AM,05/30/2025 12:00:00 AM,Issued,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6982011-CN,47.63285439,-122.35505729,"(47.63285439, -122.35505729)"
9613 FREMONT AVE N,6981815-CN,Single Family/Duplex,Residential,New,"Construct north one-family dwelling, per plan. [Establish new single family residence, attached accessory dwelling unit and detached accessory dwelling unit, per land use code. Construct two- and one-family dwellings. Review and processing for (2) construction records under 6975624-CN.]",0,0,1,08/21/2023 12:00:00 AM,186509,02/05/2024 12:00:00 AM,08/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6981815-CN,47.69916317,-122.35028977,"(47.69916317, -122.35028977)"
7727 B 13TH AVE NW,6966582-CN,Single Family/Duplex,Residential,New,"Allow detached accessory dwelling unit to existing single-family use per land use code. Construct one-family dwelling, per plan. Existing detached accessory garage to be demolished.",0,0,1,08/21/2023 12:00:00 AM,91179,02/13/2024 12:00:00 AM,08/13/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6966582-CN,47.68600834,-122.37331887,"(47.68600834, -122.37331887)"
9617 FREMONT AVE N,6975624-CN,Single Family/Duplex,Residential,New,"Construct south two-family dwelling, per plan. [Establish new single family residence, attached accessory dwelling unit and detached accessory dwelling unit, per land use code. Construct two- and one-family dwellings. Review and processing for (2) construction records under 6975624-CN.]",1,1,2,08/21/2023 12:00:00 AM,592755,02/05/2024 12:00:00 AM,08/05/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6975624-CN,47.69925626,-122.35028123,"(47.69925626, -122.35028123)"
1516 NE 90TH ST,6955828-CN,Single Family/Duplex,Residential,New,"Establish use as single-family residence with attached accessory dwelling unit per land use code. Construct two-family dwelling, per plan.",0,0,2,08/18/2023 12:00:00 AM,809995,01/04/2024 12:00:00 AM,07/04/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6955828-CN,47.69417534,-122.31128853,"(47.69417534, -122.31128853)"
824 NE 57TH ST,6960003-CN,Single Family/Duplex,Residential,New,"Construct north one-family dwelling (Construct north one-family dwelling (detached accessory dwelling unit (DADU), per land use code), and alterations to south, existing one-family dwelling, per plan.  Review & process for (2) records under 6960003-CN)",0,0,1,08/17/2023 12:00:00 AM,151574,10/23/2023 12:00:00 AM,04/23/2025 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6960003-CN,47.67023641,-122.31899154,"(47.67023641, -122.31899154)"
10036 44th AVE SW,6952125-CN,Single Family/Duplex,Residential,New,"Construct new single family dwelling, per plan. (Establish use as single family residence and detached accessory dwelling unit per land use code. Construct 2 new single family dwellings, per plan. Review and processing for two records under 6952125-CN)",0,0,1,08/16/2023 12:00:00 AM,451822,01/12/2024 12:00:00 AM,07/12/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6952125-CN,47.51266396,-122.38803643,"(47.51266396, -122.38803643)"
727 N 91ST ST,6963344-CN,Single Family/Duplex,Residential,New,"Construct north two-family dwelling (Establish use as single-family residence w/ attached accessory dwelling unit (AADU) & detached accessory dwelling unit (DADU), per land use code.  Construct north two-family dwelling & south one-family dwelling, per plan.  Review & process for (2) records under 6963344-CN)",1,1,2,08/16/2023 12:00:00 AM,581398,11/15/2023 12:00:00 AM,05/15/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6963344-CN,47.69471062,-122.34871255,"(47.69471062, -122.34871255)"
10038 44TH AVE SW,6981352-CN,Single Family/Duplex,Residential,New,"Construct new single family dwelling, per plan. (Establish use as single family residence and detached accessory dwelling units per land use code.  Construct 2 new single family dwellings, per plan. Review and processing for two records under 6952125-CN)",0,0,1,08/16/2023 12:00:00 AM,198080,01/12/2024 12:00:00 AM,07/12/2025 12:00:00 AM,Issued,SEATTLE,WA,98146,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6981352-CN,47.51267116,-122.38806643,"(47.51267116, -122.38806643)"
727 N 91ST ST,6981225-CN,Single Family/Duplex,Residential,New,"Construct south one-family dwelling (Establish use as single-family residence w/ attached accessory dwelling unit (AADU) & detached accessory dwelling unit (DADU), per land use code.  Construct north two-family dwelling & south one-family dwelling, per plan.  Review & process for (2) records under 6963344-CN)",0,0,1,08/16/2023 12:00:00 AM,182272,11/15/2023 12:00:00 AM,05/15/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6981225-CN,47.69471062,-122.34871255,"(47.69471062, -122.34871255)"
2028 NE 123RD ST,6981088-CN,Single Family/Duplex,Residential,New,"Construct one-family dwelling (DADU) this permit, [Allow single family residence with attached and detached accessory dwelling units, per land use code.  Construct as substantial alterations to existing residence for two family dwelling (SFR and AADU) and as new on-family dwelling (DADU) per plan; review and process for two records under 6951041-CN].",,,,08/16/2023 12:00:00 AM,181858,02/13/2024 12:00:00 AM,08/13/2025 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6981088-CN,47.7178981,-122.3057339,"(47.7178981, -122.3057339)"
8828 38TH AVE SW,6979289-CN,Single Family/Duplex,Residential,New,"Construct west two-family dwelling, per plan (Establish use as single-family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings, per plan. Review and processing for two records under 6979289-CN)",0,0,2,08/14/2023 12:00:00 AM,498240,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6979289-CN,47.52388829,-122.38047079,"(47.52388829, -122.38047079)"
8826 38TH AVE SW,6980627-CN,Single Family/Duplex,Residential,New,"Construct east one-family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling unit per land use code. Construct one and two family dwelling per plan. Review and processing for two records under 6979289-CN).",0,0,1,08/14/2023 12:00:00 AM,166080,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6980627-CN,47.52388768,-122.38030331,"(47.52388768, -122.38030331)"
841 NW 61ST ST,6976375-CN,Single Family/Duplex,Residential,New,"Construct new two family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings per plan. Review and processing for two records under 6976375-CN)",0,0,2,08/09/2023 12:00:00 AM,511360,02/19/2024 12:00:00 AM,08/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6976375-CN,47.67291659,-122.3678489,"(47.67291659, -122.3678489)"
1408 ORANGE PL N,6974833-CN,Multifamily,Residential,New,"Construct East duplex, this permit (Establish use as townhouses, per land use plan.  Construct as West townhouse building and East two family dwelling, per plan; review and process for two records under 6952626-CN).",0,0,2,08/08/2023 12:00:00 AM,544784,12/29/2023 12:00:00 AM,06/29/2025 12:00:00 AM,Issued,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6974833-CN,47.63147263,-122.35349232,"(47.63147263, -122.35349232)"
845 NW 61ST ST,6979456-CN,Single Family/Duplex,Residential,New,"Construct new one family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings per plan. Review and processing for two records under 6976375-CN)",0,0,1,08/04/2023 12:00:00 AM,182688,02/19/2024 12:00:00 AM,08/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6979456-CN,47.67291721,-122.36795086,"(47.67291721, -122.36795086)"
4057 46TH AVE SW,6978918-CN,Single Family/Duplex,Residential,New,"Construct new 12x20 detached shed in backyard, per STFI",,,,08/03/2023 12:00:00 AM,20000,08/03/2023 12:00:00 AM,02/03/2025 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6978918-CN,47.56679071,-122.39112045,"(47.56679071, -122.39112045)"
5256 16TH AVE NE,6970219-CN,Single Family/Duplex,Residential,New,"Construct new accessory structure, per STFI",,,,08/03/2023 12:00:00 AM,33506,08/22/2023 12:00:00 AM,02/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6970219-CN,47.66804752,-122.31048376,"(47.66804752, -122.31048376)"
4402 LETITIA AVE S,6972134-CN,Vacant Land,Non-Residential,New,"Establish use as single family residence per land use code. Construct new one family dwelling, per plan. Remove existing detached garage.",0,0,1,08/02/2023 12:00:00 AM,453398,12/06/2023 12:00:00 AM,06/06/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6972134-CN,47.56402564,-122.28912309,"(47.56402564, -122.28912309)"
1768 AURORA AVE N,6941336-CN,Multifamily,Residential,New,"Repair exterior façade and construct alterations to existing north condominium building, per plan. (Repair exterior façade and construct alterations to (2) existing apartment buildings, per plan. Review and processing for two records under 6941336-CN.)",0,0,0,08/01/2023 12:00:00 AM,475000,11/04/2023 12:00:00 AM,05/04/2025 12:00:00 AM,Issued,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6941336-CN,47.63584973,-122.34310635,"(47.63584973, -122.34310635)"
8140 34TH AVE SW,6940937-CN,Single Family/Duplex,Residential,New,"Establish new single family residence and convert existing single family residence to detached accessory dwelling unit (DADU), per land use code. Construct new single family dwelling with no work to existing single family dwelling, per plan.",1,0,2,07/31/2023 12:00:00 AM,297615,12/26/2023 12:00:00 AM,06/26/2025 12:00:00 AM,Issued,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6940937-CN,47.52895477,-122.37484297,"(47.52895477, -122.37484297)"
